label,timestamp1,timestamp2,x_out,y_out,z_out
Bicep curl,2006481,2006481,-390.5,100.34,-879.64
Bicep curl,2006490,2006491,-395.75,104.0,-883.06
Bicep curl,2006500,2006501,-407.23,108.15,-894.65
Bicep curl,2006510,2006511,-413.57,108.64,-907.23
Bicep curl,2006520,2006521,-405.4,102.29,-914.55
Bicep curl,2006530,2006531,-383.18,95.21,-928.71
Bicep curl,2006540,2006540,-374.88,97.53,-939.82
Bicep curl,2006549,2006550,-395.75,105.71,-928.1
Bicep curl,2006559,2006560,-406.01,105.47,-914.79
Bicep curl,2006569,2006570,-391.11,103.64,-909.79
Bicep curl,2006579,2006580,-388.43,107.42,-904.42
Bicep curl,2006589,2006590,-402.71,111.45,-901.25
Bicep curl,2006599,2006600,-416.14,114.99,-900.76
Bicep curl,2006608,2006609,-416.38,112.92,-905.27
Bicep curl,2006618,2006619,-410.4,109.37,-912.84
Bicep curl,2006628,2006629,-410.28,110.84,-918.82
Bicep curl,2006638,2006639,-411.01,111.69,-926.64
Bicep curl,2006648,2006649,-405.4,108.03,-933.47
Bicep curl,2006658,2006659,-393.68,103.52,-942.02
Bicep curl,2006667,2006668,-385.74,102.78,-960.21
Bicep curl,2006677,2006678,-395.14,103.52,-978.76
Bicep curl,2006687,2006688,-414.43,104.98,-986.45
Bicep curl,2006697,2006698,-435.91,111.33,-994.02
Bicep curl,2006707,2006708,-457.64,118.9,-992.55
Bicep curl,2006717,2006718,-463.13,123.41,-1006.71
Bicep curl,2006726,2006727,-472.41,122.44,-1057.86
Bicep curl,2006736,2006737,-502.69,129.27,-1096.8
Bicep curl,2006746,2006747,-511.11,137.33,-1114.5
Bicep curl,2006756,2006757,-498.9,149.05,-1120.36
Bicep curl,2006766,2006767,-499.02,171.63,-1114.87
Bicep curl,2006776,2006777,-505.49,187.01,-1123.41
Bicep curl,2006786,2006786,-512.7,198.97,-1139.89
Bicep curl,2006795,2006796,-516.85,213.26,-1149.54
Bicep curl,2006805,2006806,-508.18,227.42,-1162.96
Bicep curl,2006815,2006816,-493.77,242.19,-1163.82
Bicep curl,2006825,2006826,-488.77,263.43,-1150.02
Bicep curl,2006835,2006836,-497.44,282.23,-1130.13
Bicep curl,2006844,2006845,-503.17,294.56,-1100.95
Bicep curl,2006854,2006855,-505.86,307.01,-1089.36
Bicep curl,2006864,2006865,-516.72,314.45,-1086.91
