label,timestamp1,timestamp2,x_out,y_out,z_out,gyro_x,gyro_y,gyro_z
BicepCurl,26003,26005,-235.84,-43.46,-965.82,-103.76,-48.83,42.72
BicepCurl,26013,26015,-233.03,-43.82,-967.29,-67.14,61.04,48.83
BicepCurl,26023,26025,-235.35,-42.36,-965.94,-48.83,122.07,67.14
BicepCurl,26033,26034,-238.53,-41.26,-963.99,-48.83,97.66,61.04
BicepCurl,26043,26045,-238.53,-40.53,-960.21,-54.93,24.41,42.72
BicepCurl,26053,26054,-235.23,-40.41,-960.21,-73.24,-48.83,24.41
BicepCurl,26062,26064,-233.15,-42.6,-964.97,-85.45,-48.83,12.21
BicepCurl,26072,26074,-233.15,-42.97,-965.94,-79.35,-12.21,-12.21
BicepCurl,26082,26084,-234.13,-41.63,-965.94,-73.24,-6.1,-36.62
BicepCurl,26092,26094,-236.33,-41.14,-967.41,-54.93,12.21,-42.72
BicepCurl,26102,26104,-238.28,-39.18,-967.41,-36.62,30.52,-42.72
BicepCurl,26111,26113,-240.11,-36.62,-966.55,-30.52,36.62,-18.31
BicepCurl,26121,26123,-242.19,-34.67,-965.21,-30.52,42.72,-6.1
BicepCurl,26131,26133,-243.29,-32.96,-963.75,-30.52,24.41,-12.21
BicepCurl,26141,26143,-242.8,-33.08,-964.36,-36.62,-6.1,-6.1
BicepCurl,26151,26153,-240.6,-32.96,-965.58,-30.52,-18.31,-12.21
BicepCurl,26161,26163,-238.65,-32.47,-965.94,-24.41,-30.52,-18.31
BicepCurl,26170,26172,-238.89,-32.35,-969.73,-18.31,-30.52,-18.31
BicepCurl,26180,26182,-238.04,-32.35,-972.78,-12.21,6.1,-30.52
BicepCurl,26190,26192,-238.4,-32.47,-971.44,-6.1,48.83,-24.41
BicepCurl,26200,26202,-241.46,-32.35,-973.88,-24.41,54.93,-6.1
BicepCurl,26210,26212,-241.33,-33.33,-982.3,-42.72,42.72,-6.1
BicepCurl,26220,26221,-238.65,-35.16,-995.24,-61.04,73.24,0.0
BicepCurl,26229,26231,-234.62,-37.23,-1010.13,-91.55,164.79,6.1
BicepCurl,26239,26241,-231.45,-38.94,-1021.85,-140.38,347.9,30.52
BicepCurl,26249,26251,-237.06,-38.94,-1029.3,-244.14,531.01,73.24
