label,timestamp1,timestamp2,x_out,y_out,z_out
Chest press,2049782,2049783,193.73,617.8,862.18
Chest press,2049792,2049793,187.13,614.5,865.97
Chest press,2049802,2049803,183.23,601.56,865.84
Chest press,2049812,2049813,182.98,577.15,863.04
Chest press,2049822,2049822,180.91,553.22,858.64
Chest press,2049832,2049833,180.91,534.67,854.37
Chest press,2049841,2049842,190.43,518.68,858.03
Chest press,2049851,2049852,195.07,504.39,870.48
Chest press,2049861,2049862,188.11,488.77,883.67
Chest press,2049871,2049872,172.24,470.34,885.74
Chest press,2049881,2049881,157.47,451.9,874.63
Chest press,2049890,2049891,152.34,436.52,857.3
Chest press,2049900,2049901,152.1,426.03,839.84
Chest press,2049910,2049911,153.08,419.56,824.58
Chest press,2049920,2049921,147.46,413.45,814.09
Chest press,2049930,2049931,140.14,412.48,813.6
Chest press,2049939,2049940,140.01,415.41,822.02
Chest press,2049949,2049950,144.65,416.38,832.28
Chest press,2049959,2049960,145.75,420.17,840.94
Chest press,2049969,2049970,136.96,422.0,854.25
Chest press,2049979,2049980,129.39,418.33,869.75
Chest press,2049989,2049990,132.69,414.92,875.98
Chest press,2049999,2049999,143.92,408.33,874.27
Chest press,2050009,2050010,154.91,399.66,870.85
Chest press,2050018,2050019,160.4,394.04,870.97
Chest press,2050028,2050029,158.33,388.92,878.17
Chest press,2050038,2050039,151.98,384.52,882.81
Chest press,2050048,2050049,150.02,380.98,876.59
Chest press,2050058,2050059,152.83,379.39,864.01
Chest press,2050067,2050068,153.2,379.88,853.39
Chest press,2050077,2050078,142.58,378.78,853.64
Chest press,2050087,2050088,118.41,370.12,867.19
Chest press,2050097,2050098,99.73,359.13,883.67
Chest press,2050107,2050108,102.05,355.96,895.02
Chest press,2050117,2050118,120.0,361.45,900.39
Chest press,2050126,2050127,145.75,374.51,898.8
Chest press,2050136,2050137,168.09,390.26,894.78
Chest press,2050146,2050147,180.3,407.84,894.78
Chest press,2050156,2050157,184.33,423.58,902.71
Chest press,2050166,2050167,176.15,438.6,914.31
Chest press,2050176,2050177,145.02,456.67,920.65
Chest press,2050185,2050186,110.35,472.78,918.7
Chest press,2050195,2050196,102.17,490.84,910.52
Chest press,2050205,2050206,118.53,513.43,892.7
Chest press,2050215,2050216,146.36,535.89,861.45
Chest press,2050225,2050226,178.83,555.66,821.17
Chest press,2050235,2050236,212.77,570.68,784.18
Chest press,2050245,2050245,239.75,576.9,764.4
Chest press,2050255,2050255,236.21,570.31,769.78
Chest press,2050264,2050265,187.74,546.39,798.1
Chest press,2050274,2050275,104.98,509.16,842.29
Chest press,2050284,2050285,16.6,473.39,882.69
Chest press,2050294,2050295,-32.59,442.75,898.44
Chest press,2050303,2050304,-26.12,421.02,892.09
Chest press,2050313,2050314,18.31,418.95,876.59
Chest press,2050323,2050324,81.18,433.35,860.96
Chest press,2050333,2050334,143.19,452.51,851.68
Chest press,2050343,2050344,189.7,466.92,854.86
Chest press,2050353,2050354,209.47,471.56,869.51
Chest press,2050362,2050363,193.12,462.89,897.58
Chest press,2050373,2050373,156.86,442.02,933.23
Chest press,2050382,2050383,136.23,423.46,964.11
Chest press,2050392,2050393,122.44,415.53,987.3
Chest press,2050402,2050403,106.45,409.42,993.16
Chest press,2050412,2050413,127.08,405.03,977.66
Chest press,2050422,2050423,174.93,409.06,952.27
Chest press,2050431,2050432,193.48,413.21,934.45
Chest press,2050441,2050442,179.08,407.96,929.81
Chest press,2050451,2050452,155.4,401.12,926.64
Chest press,2050461,2050462,125.49,398.68,922.85
Chest press,2050471,2050472,86.06,393.8,924.56
Chest press,2050481,2050482,48.58,389.89,933.47
Chest press,2050491,2050491,3.42,377.2,960.57
Chest press,2050500,2050501,-61.65,336.18,992.07
Chest press,2050510,2050511,-108.52,291.5,1003.05
Chest press,2050520,2050521,-117.68,267.21,1001.34
Chest press,2050530,2050531,-111.94,259.03,996.7
Chest press,2050540,2050541,-92.65,256.96,993.16
Chest press,2050549,2050550,-73.0,248.05,995.61
Chest press,2050559,2050560,-70.43,236.08,1009.77
Chest press,2050569,2050570,-73.0,227.91,1026.37
Chest press,2050579,2050580,-65.06,224.61,1028.56
Chest press,2050589,2050590,-49.93,218.99,1023.56
Chest press,2050599,2050600,-37.6,204.35,1019.53
Chest press,2050608,2050609,-24.54,187.38,1012.21
Chest press,2050618,2050619,-18.55,168.09,994.75
Chest press,2050628,2050629,-24.54,153.56,973.63
Chest press,2050638,2050639,-31.37,138.31,967.16
Chest press,2050648,2050649,-37.23,115.84,975.22
Chest press,2050658,2050659,-51.03,103.64,981.93
Chest press,2050668,2050669,-54.57,99.49,975.95
Chest press,2050677,2050678,-40.04,95.83,959.84
Chest press,2050687,2050688,-1.59,100.95,950.56
Chest press,2050697,2050698,48.83,114.38,946.53
Chest press,2050707,2050708,80.44,122.68,935.91
Chest press,2050717,2050718,100.34,118.9,924.44
Chest press,2050727,2050728,117.8,106.08,924.32
Chest press,2050736,2050737,124.63,82.03,938.72
Chest press,2050746,2050747,104.61,55.54,954.83
Chest press,2050756,2050757,78.37,42.6,962.52
Chest press,2050766,2050767,74.34,40.65,965.94
Chest press,2050776,2050777,99.0,46.88,965.58
Chest press,2050785,2050786,128.91,59.45,962.28
Chest press,2050795,2050796,149.29,70.43,959.72
Chest press,2050805,2050806,198.49,77.03,936.4
Chest press,2050815,2050816,227.91,78.86,900.63
Chest press,2050825,2050826,203.0,72.51,872.8
Chest press,2050835,2050836,154.79,57.98,875.12
Chest press,2050845,2050846,40.77,25.51,926.76
Chest press,2050854,2050855,-36.25,-18.19,969.24
Chest press,2050864,2050865,22.46,-44.56,946.04
Chest press,2050874,2050875,174.68,-45.78,878.78
Chest press,2050884,2050885,292.97,-56.88,846.92
Chest press,2050894,2050895,244.26,-156.74,920.9
Chest press,2050903,2050904,86.79,-321.04,1052.37
Chest press,2050913,2050914,-192.26,-462.77,1095.21
Chest press,2050923,2050924,-435.42,-557.62,1000.85
Chest press,2050933,2050934,-442.02,-588.13,865.48
Chest press,2050943,2050944,-331.91,-536.13,784.42
Chest press,2050953,2050954,-171.87,-438.35,815.92
Chest press,2050963,2050964,68.48,-343.87,914.55
Chest press,2050972,2050973,332.03,-247.19,992.31
Chest press,2050982,2050983,473.51,-158.57,1049.07
Chest press,2050992,2050993,492.31,-111.82,1076.78
