label,timestamp1,timestamp2,x_out,y_out,z_out,gyro_x,gyro_y,gyro_z
ChestPress,445423,445425,107.54,544.68,827.88,-79.35,67.14,-67.14
ChestPress,445433,445435,116.7,544.31,830.2,-207.52,317.38,97.66
ChestPress,445443,445445,123.66,532.23,835.82,-225.83,524.9,170.9
ChestPress,445453,445455,120.85,520.02,843.26,-183.11,671.39,201.42
ChestPress,445463,445464,114.75,507.81,851.81,-122.07,750.73,225.83
ChestPress,445473,445475,103.15,492.55,865.11,-85.45,701.9,238.04
ChestPress,445482,445484,81.91,470.7,879.52,-115.97,518.8,231.93
ChestPress,445492,445494,67.02,449.34,890.99,128.17,213.62,115.97
ChestPress,445502,445504,63.11,440.43,895.87,341.8,-91.55,-61.04
ChestPress,445512,445514,71.66,435.18,892.7,457.76,-366.21,-225.83
ChestPress,445522,445523,83.25,431.27,886.84,518.8,-549.32,-384.52
ChestPress,445531,445533,90.09,434.57,882.93,555.42,-598.14,-524.9
ChestPress,445541,445543,92.04,442.63,882.93,549.32,-537.11,-677.49
ChestPress,445551,445553,87.28,451.9,879.52,463.87,-457.76,-762.94
ChestPress,445561,445563,83.98,457.89,874.63,384.52,-390.62,-854.49
ChestPress,445571,445573,83.5,461.55,877.81,335.69,-286.87,-958.25
ChestPress,445581,445583,80.81,469.24,887.57,244.14,-152.59,-1025.39
ChestPress,445591,445593,75.07,475.1,893.8,54.93,-18.31,-1013.18
ChestPress,445600,445602,68.36,476.44,889.53,-67.14,67.14,-952.15
ChestPress,445610,445612,62.62,481.2,876.71,-79.35,79.35,-885.01
ChestPress,445620,445622,64.33,492.55,861.08,-6.1,54.93,-897.22
ChestPress,445630,445632,73.97,511.23,847.9,115.97,36.62,-872.8
ChestPress,445640,445642,85.57,532.84,839.6,177.0,61.04,-750.73
ChestPress,445650,445652,88.38,553.59,836.67,213.62,189.21,-561.52
ChestPress,445659,445661,81.54,575.07,843.87,256.35,360.11,-366.21
ChestPress,445669,445671,75.2,598.39,860.84,286.87,445.56,-189.21
ChestPress,445679,445681,69.46,622.44,878.91,280.76,427.25,-54.93
ChestPress,445689,445691,61.4,644.04,896.36,347.9,335.69,48.83
ChestPress,445699,445701,58.72,666.99,908.2,463.87,183.11,152.59
ChestPress,445709,445711,67.26,692.5,905.76,622.56,48.83,231.93
ChestPress,445718,445720,83.13,720.95,882.2,817.87,-36.62,299.07
ChestPress,445728,445730,102.42,750.12,845.21,1019.29,12.21,354.0
ChestPress,445738,445740,124.51,771.36,821.53,1129.15,256.35,469.97
ChestPress,445748,445750,153.93,779.66,819.34,1025.39,604.25,592.04
ChestPress,445758,445759,185.79,771.12,837.65,946.04,1031.49,720.21
ChestPress,445768,445770,198.24,755.37,863.28,775.15,1525.88,830.08
ChestPress,445777,445779,193.12,736.82,878.3,689.7,1928.71,903.32
ChestPress,445787,445789,179.93,723.63,879.88,732.42,2154.54,885.01
ChestPress,445797,445799,156.25,725.46,876.1,701.9,2148.44,805.66
ChestPress,445807,445809,136.6,729.25,869.51,488.28,1916.5,689.7
ChestPress,445817,445818,123.05,724.49,860.47,299.07,1556.4,561.52
ChestPress,445827,445828,98.39,719.24,866.21,85.45,939.94,402.83
ChestPress,445836,445838,52.0,707.89,857.79,-427.25,-30.52,292.97
ChestPress,445846,445848,23.93,673.22,832.52,-311.28,-1177.98,183.11
ChestPress,445856,445858,23.32,650.76,803.83,213.62,-2319.34,-103.76
ChestPress,445866,445868,45.78,660.03,756.35,964.36,-3125.0,-500.49
ChestPress,445876,445878,103.88,684.81,709.23,1751.71,-3234.86,-1031.49
