label,timestamp1,timestamp2,x_out,y_out,z_out
Lat pulldown,155907,155908,-463.26,854.0,330.44
Lat pulldown,155917,155918,-465.45,839.72,328.25
Lat pulldown,155927,155928,-463.5,848.27,317.5
Lat pulldown,155937,155938,-475.1,856.45,304.57
Lat pulldown,155947,155948,-482.54,863.53,296.02
Lat pulldown,155956,155957,-432.37,850.59,278.69
Lat pulldown,155967,155968,-388.06,817.5,264.77
Lat pulldown,155976,155977,-380.98,779.3,265.01
Lat pulldown,155986,155987,-413.57,787.6,285.28
Lat pulldown,155996,155997,-463.26,809.69,301.51
Lat pulldown,156006,156007,-450.32,789.55,289.55
Lat pulldown,156016,156017,-432.01,769.41,272.83
Lat pulldown,156026,156027,-449.71,758.91,267.21
Lat pulldown,156036,156037,-441.28,777.22,271.85
Lat pulldown,156045,156046,-404.17,825.07,276.73
Lat pulldown,156055,156056,-372.68,861.69,278.56
Lat pulldown,156065,156066,-363.4,865.97,294.31
Lat pulldown,156075,156076,-372.68,835.82,322.75
Lat pulldown,156085,156086,-369.14,806.03,338.01
Lat pulldown,156094,156095,-358.64,797.12,338.5
Lat pulldown,156104,156105,-360.84,773.93,330.93
Lat pulldown,156114,156115,-373.17,737.43,330.2
Lat pulldown,156124,156125,-384.03,739.75,335.94
Lat pulldown,156134,156135,-386.35,777.83,330.57
Lat pulldown,156143,156144,-379.39,819.34,322.51
Lat pulldown,156153,156154,-361.57,855.83,335.94
Lat pulldown,156163,156164,-365.72,847.05,364.62
Lat pulldown,156173,156174,-380.62,811.28,393.19
Lat pulldown,156183,156184,-381.59,807.98,406.86
Lat pulldown,156193,156194,-372.31,821.9,398.32
Lat pulldown,156203,156204,-379.03,843.38,387.08
Lat pulldown,156212,156213,-401.12,874.27,376.59
Lat pulldown,156222,156223,-403.69,887.33,365.23
Lat pulldown,156232,156233,-403.32,884.16,362.67
Lat pulldown,156242,156243,-407.71,877.08,365.48
Lat pulldown,156252,156253,-401.49,861.69,375.24
Lat pulldown,156262,156263,-413.09,833.86,397.71
Lat pulldown,156272,156273,-450.56,798.46,406.62
Lat pulldown,156281,156282,-476.07,774.17,384.89
Lat pulldown,156291,156292,-490.72,769.41,348.75
Lat pulldown,156301,156302,-476.81,786.01,323.12
Lat pulldown,156311,156312,-449.83,792.48,310.18
Lat pulldown,156321,156321,-448.0,776.0,303.83
Lat pulldown,156330,156331,-463.62,740.72,313.48
Lat pulldown,156340,156341,-501.34,691.41,326.66
Lat pulldown,156350,156351,-529.3,673.46,334.11
Lat pulldown,156360,156361,-554.81,679.08,344.97
Lat pulldown,156370,156371,-586.06,681.15,349.85
Lat pulldown,156380,156381,-584.47,674.19,342.9
Lat pulldown,156389,156390,-561.28,665.53,324.22
Lat pulldown,156399,156400,-533.81,655.4,303.96
Lat pulldown,156409,156410,-531.25,624.76,295.53
Lat pulldown,156419,156420,-573.12,592.53,294.31
Lat pulldown,156429,156430,-594.36,578.74,307.62
Lat pulldown,156439,156439,-553.47,583.86,322.27
Lat pulldown,156449,156450,-481.57,577.76,353.76
Lat pulldown,156458,156459,-424.19,543.09,422.24
Lat pulldown,156468,156469,-380.74,516.97,498.17
Lat pulldown,156478,156479,-343.63,523.68,535.89
Lat pulldown,156488,156489,-337.04,542.85,523.8
Lat pulldown,156498,156499,-319.58,562.62,510.25
Lat pulldown,156507,156508,-258.06,591.31,513.79
Lat pulldown,156518,156518,-196.66,612.55,514.28
Lat pulldown,156527,156528,-153.93,630.98,496.09
Lat pulldown,156537,156538,-106.69,660.77,465.45
Lat pulldown,156547,156548,-64.94,666.02,432.13
Lat pulldown,156557,156558,5.86,666.87,422.12
Lat pulldown,156567,156568,106.32,696.04,434.57
Lat pulldown,156577,156577,132.81,713.5,432.98
Lat pulldown,156586,156587,105.96,694.58,416.75
Lat pulldown,156596,156597,83.25,669.92,396.61
Lat pulldown,156606,156607,24.41,673.95,369.14
Lat pulldown,156616,156617,-48.71,670.41,340.45
Lat pulldown,156626,156627,-90.94,658.33,327.88
Lat pulldown,156635,156636,-105.47,671.02,346.19
Lat pulldown,156645,156646,-100.83,679.69,363.4
Lat pulldown,156655,156656,-61.4,661.5,338.99
Lat pulldown,156665,156666,3.42,646.0,290.41
Lat pulldown,156675,156676,9.89,685.06,227.42
Lat pulldown,156685,156685,-51.27,737.06,174.93
Lat pulldown,156694,156695,-105.35,731.08,177.86
Lat pulldown,156704,156705,-166.87,696.29,244.87
Lat pulldown,156714,156715,-255.25,674.32,324.46
Lat pulldown,156724,156725,-317.26,650.63,357.18
Lat pulldown,156734,156735,-310.06,622.92,343.38
Lat pulldown,156744,156745,-230.22,633.91,321.29
Lat pulldown,156753,156754,-131.47,705.69,290.28
Lat pulldown,156763,156764,-72.39,797.85,253.91
Lat pulldown,156773,156774,-53.1,869.87,259.28
Lat pulldown,156783,156784,-80.32,917.85,302.49
Lat pulldown,156793,156794,-152.59,910.64,343.02
Lat pulldown,156802,156803,-194.82,859.86,365.11
Lat pulldown,156813,156813,-186.77,824.83,346.19
Lat pulldown,156822,156823,-143.8,843.99,271.36
Lat pulldown,156832,156833,-82.52,903.93,197.27
Lat pulldown,156842,156843,-67.38,957.76,183.11
Lat pulldown,156852,156853,-79.1,987.79,224.98
Lat pulldown,156862,156863,-40.89,1014.04,252.32
Lat pulldown,156872,156873,11.35,1036.01,246.34
Lat pulldown,156881,156882,37.6,1056.27,230.71
Lat pulldown,156891,156892,48.95,1047.61,222.05
Lat pulldown,156901,156902,40.28,1001.95,243.65
Lat pulldown,156911,156912,9.77,972.05,298.71
Lat pulldown,156921,156922,-20.87,968.02,345.95
Lat pulldown,156931,156932,-27.71,972.78,365.23
Lat pulldown,156940,156941,-13.31,979.0,381.35
Lat pulldown,156950,156951,39.18,1007.57,372.92
Lat pulldown,156960,156961,88.75,1033.81,341.67
Lat pulldown,156970,156971,107.18,1049.44,315.19
Lat pulldown,156980,156981,130.74,1087.89,294.56
Lat pulldown,156990,156991,121.34,1115.11,303.71
Lat pulldown,157000,157000,47.0,1112.43,335.69
Lat pulldown,157009,157010,-5.13,1109.5,324.71
Lat pulldown,157019,157020,2.44,1103.88,288.57
Lat pulldown,157029,157030,19.78,1090.21,261.23
Lat pulldown,157039,157040,54.2,1060.67,244.87
Lat pulldown,157048,157049,93.14,1026.98,253.42
Lat pulldown,157058,157059,108.28,1030.4,268.19
Lat pulldown,157068,157069,106.32,1045.78,262.82
Lat pulldown,157078,157079,69.95,1031.01,248.41
Lat pulldown,157088,157089,16.72,1013.06,247.56
Lat pulldown,157098,157099,-19.41,1007.2,258.3
Lat pulldown,157108,157108,-51.27,1005.62,264.77
Lat pulldown,157117,157118,-110.47,990.72,267.46
Lat pulldown,157127,157128,-161.38,978.76,269.41
Lat pulldown,157137,157138,-142.21,993.77,268.55
Lat pulldown,157147,157148,-118.53,1008.91,269.17
Lat pulldown,157157,157158,-146.0,1011.6,288.82
Lat pulldown,157167,157168,-166.38,1021.85,324.22
Lat pulldown,157176,157177,-157.47,1050.78,353.64
Lat pulldown,157186,157187,-152.22,1088.99,373.9
Lat pulldown,157196,157197,-149.29,1114.75,378.05
Lat pulldown,157206,157207,-109.01,1134.89,349.24
Lat pulldown,157216,157217,-47.24,1156.37,299.07
Lat pulldown,157226,157227,-41.75,1148.19,280.64
Lat pulldown,157235,157236,-64.7,1125.73,320.8
Lat pulldown,157245,157246,-65.67,1103.03,393.07
Lat pulldown,157255,157256,-85.57,1073.24,456.05
Lat pulldown,157265,157266,-104.37,1056.64,489.38
Lat pulldown,157275,157276,-79.22,1060.3,485.11
Lat pulldown,157285,157285,-48.1,1065.31,440.67
Lat pulldown,157295,157296,-34.67,1068.48,391.11
Lat pulldown,157304,157305,-36.01,1072.02,353.03
Lat pulldown,157314,157315,-77.39,1057.5,315.06
Lat pulldown,157324,157325,-109.74,1049.07,293.33
Lat pulldown,157334,157335,-122.68,1063.96,304.32
Lat pulldown,157344,157345,-176.15,1069.34,339.84
Lat pulldown,157354,157355,-232.18,1071.17,387.08
Lat pulldown,157363,157364,-259.03,1088.5,413.82
Lat pulldown,157373,157374,-242.55,1119.14,385.99
Lat pulldown,157383,157384,-196.66,1153.93,328.49
Lat pulldown,157393,157394,-158.33,1178.59,285.03
Lat pulldown,157403,157404,-146.24,1184.45,293.7
Lat pulldown,157412,157413,-160.16,1193.85,319.82
Lat pulldown,157422,157423,-149.41,1229.0,305.42
Lat pulldown,157432,157433,-120.12,1263.79,265.62
Lat pulldown,157442,157443,-109.13,1290.53,235.23
