label,timestamp1,timestamp2,x_out,y_out,z_out
LatPulldown,685914,685915,-24.17,907.96,398.19
LatPulldown,685921,685922,-11.72,925.54,397.95
LatPulldown,685931,685932,-9.4,942.02,385.5
LatPulldown,685941,685942,-25.88,969.6,348.88
LatPulldown,685951,685952,-24.9,975.71,320.07
LatPulldown,685961,685962,-12.94,968.99,334.96
LatPulldown,685970,685971,-45.9,965.94,368.65
LatPulldown,685980,685981,-92.65,956.3,401.0
LatPulldown,685990,685991,-109.5,948.36,424.19
LatPulldown,686000,686001,-109.62,946.29,428.47
LatPulldown,686010,686011,-95.34,947.14,422.24
LatPulldown,686020,686020,-72.02,950.81,412.23
LatPulldown,686030,686031,-48.71,960.57,398.44
LatPulldown,686039,686040,-19.78,971.31,383.79
LatPulldown,686049,686050,3.54,975.83,365.84
LatPulldown,686059,686060,27.34,981.93,339.97
LatPulldown,686069,686070,48.1,987.43,321.17
LatPulldown,686079,686080,54.93,990.6,319.82
LatPulldown,686089,686089,58.23,993.77,331.05
LatPulldown,686099,686099,49.44,998.29,339.6
LatPulldown,686108,686109,30.52,1001.95,338.5
LatPulldown,686118,686119,15.5,999.76,339.48
LatPulldown,686128,686129,1.34,990.6,353.39
LatPulldown,686138,686139,-8.54,979.74,376.22
LatPulldown,686148,686149,-20.14,969.97,398.07
LatPulldown,686157,686158,-49.93,956.54,418.46
LatPulldown,686167,686168,-81.54,935.3,436.28
LatPulldown,686177,686178,-89.97,911.5,444.7
LatPulldown,686187,686188,-87.77,884.89,443.97
LatPulldown,686197,686198,-97.78,849.98,440.67
LatPulldown,686206,686207,-113.4,814.09,443.12
LatPulldown,686217,686217,-117.8,788.7,450.2
LatPulldown,686226,686227,-119.51,766.72,452.51
LatPulldown,686236,686237,-120.24,736.45,452.27
LatPulldown,686246,686247,-115.48,697.27,449.1
LatPulldown,686256,686257,-104.37,653.32,444.7
LatPulldown,686265,686266,-79.47,616.7,435.55
LatPulldown,686275,686276,-50.66,584.35,421.63
LatPulldown,686285,686286,-39.18,541.02,406.49
LatPulldown,686295,686296,-39.67,507.2,371.83
LatPulldown,686305,686306,-38.45,490.84,327.03
LatPulldown,686315,686316,-41.02,496.09,298.58
LatPulldown,686324,686325,-54.08,535.28,309.45
LatPulldown,686335,686335,-78.74,566.77,373.05
LatPulldown,686344,686345,-109.37,551.51,460.21
LatPulldown,686354,686355,-118.41,509.77,519.04
LatPulldown,686364,686365,-75.2,484.5,530.88
LatPulldown,686374,686375,-16.48,481.93,495.85
LatPulldown,686383,686384,22.46,501.95,424.19
LatPulldown,686393,686394,47.61,553.96,365.84
LatPulldown,686403,686404,48.46,605.47,354.49
LatPulldown,686413,686414,25.76,620.48,360.6
LatPulldown,686423,686424,20.39,616.33,364.99
LatPulldown,686433,686434,56.64,620.24,379.64
LatPulldown,686443,686444,94.12,634.77,388.92
LatPulldown,686453,686454,99.98,635.74,389.53
LatPulldown,686462,686463,94.24,644.29,390.5
LatPulldown,686472,686473,117.43,698.24,364.01
LatPulldown,686482,686483,155.88,750.49,322.75
LatPulldown,686492,686493,161.38,775.15,293.33
LatPulldown,686502,686502,148.19,807.01,313.84
LatPulldown,686512,686513,130.49,845.83,382.45
LatPulldown,686521,686522,126.1,855.1,427.37
LatPulldown,686531,686532,154.79,839.11,432.5
LatPulldown,686541,686542,186.89,835.08,408.94
LatPulldown,686551,686552,207.52,843.26,378.91
LatPulldown,686561,686562,199.34,863.04,356.93
LatPulldown,686570,686571,180.3,909.79,337.52
LatPulldown,686580,686581,177.86,950.07,330.44
LatPulldown,686590,686591,163.33,961.91,339.36
LatPulldown,686600,686601,152.1,965.58,375.24
LatPulldown,686610,686611,150.76,967.16,426.03
LatPulldown,686620,686621,132.32,967.41,456.3
LatPulldown,686630,686631,124.88,949.95,459.35
LatPulldown,686639,686640,139.89,929.93,438.23
LatPulldown,686649,686650,153.69,909.67,414.67
LatPulldown,686659,686660,176.27,894.04,414.06
LatPulldown,686669,686670,180.54,912.48,453.0
LatPulldown,686679,686680,156.37,932.01,507.57
LatPulldown,686689,686690,151.49,947.63,536.99
LatPulldown,686698,686699,161.25,985.6,535.89
LatPulldown,686708,686709,177.49,1014.89,519.9
LatPulldown,686718,686719,188.72,1002.69,483.4
LatPulldown,686728,686729,199.34,963.87,415.53
LatPulldown,686738,686738,222.78,931.76,351.2
LatPulldown,686748,686749,244.02,915.04,321.53
LatPulldown,686757,686758,239.26,896.24,310.55
LatPulldown,686767,686768,204.1,880.49,307.37
LatPulldown,686777,686778,172.0,881.59,310.3
LatPulldown,686787,686788,154.05,883.42,304.69
LatPulldown,686797,686798,122.19,868.29,291.87
LatPulldown,686806,686807,61.28,850.83,285.28
LatPulldown,686816,686817,3.66,838.26,302.73
LatPulldown,686826,686827,-27.95,832.28,348.63
LatPulldown,686836,686837,-59.57,845.95,399.29
LatPulldown,686846,686847,-99.49,875.0,436.04
LatPulldown,686856,686857,-124.63,907.35,461.79
LatPulldown,686866,686867,-128.66,942.38,471.92
LatPulldown,686876,686877,-128.91,971.92,468.02
LatPulldown,686885,686886,-145.26,989.01,474.61
LatPulldown,686895,686896,-138.67,1012.82,499.76
LatPulldown,686905,686906,-89.23,1054.2,509.52
LatPulldown,686915,686916,-12.94,1108.64,507.08
LatPulldown,686924,686925,54.93,1159.06,489.75
LatPulldown,686935,686936,102.42,1195.68,428.1
LatPulldown,686944,686945,123.9,1221.68,378.42
LatPulldown,686954,686955,90.7,1243.04,396.48
LatPulldown,686964,686965,71.17,1276.86,472.78
LatPulldown,686974,686975,70.43,1320.07,557.37
LatPulldown,686984,686985,45.41,1359.62,612.3
LatPulldown,686993,686994,35.64,1396.48,631.23
LatPulldown,687003,687004,68.48,1434.08,621.46
LatPulldown,687013,687014,113.28,1464.97,607.42
LatPulldown,687023,687024,135.99,1471.07,587.16
LatPulldown,687033,687034,156.62,1461.91,562.26
LatPulldown,687043,687044,175.66,1449.22,554.32
LatPulldown,687053,687054,177.12,1439.45,576.29
LatPulldown,687062,687063,182.86,1438.11,615.97
LatPulldown,687072,687073,186.89,1441.04,640.26
LatPulldown,687082,687083,175.05,1441.89,635.74
LatPulldown,687092,687093,154.3,1433.23,623.78
LatPulldown,687102,687103,120.36,1426.03,616.09
LatPulldown,687111,687112,99.73,1430.18,600.22
