label,timestamp1,timestamp2,x_out,y_out,z_out,gyro_x,gyro_y,gyro_z
Stationary,579533,579535,-84.23,-948.61,255.13,305.18,213.62,-12.21
Stationary,579542,579544,-88.5,-949.22,257.08,305.18,238.04,6.1
Stationary,579552,579554,-90.21,-949.71,257.32,311.28,219.73,24.41
Stationary,579562,579564,-86.18,-948.73,255.25,317.38,207.52,36.62
Stationary,579572,579574,-87.28,-947.27,253.3,317.38,201.42,54.93
Stationary,579582,579584,-91.31,-948.49,250.49,305.18,189.21,109.86
Stationary,579592,579594,-85.33,-950.81,246.09,305.18,195.31,134.28
Stationary,579602,579604,-78.37,-948.0,243.77,305.18,250.24,122.07
Stationary,579612,579614,-82.28,-944.21,243.29,286.87,311.28,134.28
Stationary,579622,579623,-90.33,-947.14,243.9,256.35,329.59,140.38
Stationary,579631,579633,-93.75,-952.76,245.24,250.24,311.28,122.07
Stationary,579641,579643,-94.36,-955.2,244.14,244.14,262.45,115.97
Stationary,579651,579653,-95.7,-956.91,242.55,219.73,207.52,128.17
Stationary,579661,579662,-99.12,-960.33,242.92,195.31,152.59,140.38
Stationary,579671,579672,-102.54,-962.16,242.55,170.9,109.86,164.79
Stationary,579680,579682,-102.17,-961.06,241.58,146.48,79.35,189.21
Stationary,579690,579692,-95.58,-959.23,241.58,122.07,67.14,189.21
Stationary,579700,579702,-90.21,-955.69,242.92,97.66,67.14,164.79
Stationary,579710,579712,-92.9,-952.51,246.46,73.24,73.24,164.79
Stationary,579720,579722,-96.19,-952.76,249.63,61.04,48.83,170.9
Stationary,579729,579731,-96.56,-954.59,250.0,61.04,30.52,177.0
Stationary,579739,579741,-94.85,-955.81,248.78,67.14,6.1,189.21
Stationary,579749,579751,-84.72,-952.88,246.83,79.35,12.21,189.21
Stationary,579759,579761,-77.88,-948.24,247.56,61.04,73.24,177.0
Stationary,579769,579771,-84.11,-948.85,251.71,42.72,158.69,207.52
Stationary,579779,579780,-88.87,-953.74,256.1,42.72,225.83,207.52
Stationary,579789,579790,-88.87,-958.62,259.64,61.04,256.35,177.0
Stationary,579798,579800,-90.82,-959.35,259.4,91.55,250.24,177.0
Stationary,579808,579810,-95.21,-956.79,258.42,103.76,207.52,201.42
Stationary,579818,579820,-100.59,-957.52,258.79,103.76,146.48,238.04
