label,timestamp1,timestamp2,x_out,y_out,z_out
Up Down,4737883,4737884,27.1,29.05,1299.56
Up Down,4737893,4737894,5.98,-8.79,1282.1
Up Down,4737903,4737904,-15.75,-17.82,1279.66
Up Down,4737913,4737914,-21.48,-12.94,1255.13
Up Down,4737923,4737924,-31.25,-32.1,1219.48
Up Down,4737932,4737933,-45.41,-54.44,1190.06
Up Down,4737942,4737943,-53.1,-58.59,1153.93
Up Down,4737952,4737953,-52.73,-48.95,1100.71
Up Down,4737962,4737963,-52.25,-43.58,1037.6
Up Down,4737972,4737973,-59.2,-31.25,1004.52
Up Down,4737982,4737983,-66.77,-15.87,1000.49
Up Down,4737991,4737992,-87.77,-22.22,1010.13
Up Down,4738001,4738002,-115.36,-34.06,1034.18
Up Down,4738011,4738012,-127.44,-28.93,1042.85
Up Down,4738021,4738022,-117.8,-16.97,1001.95
Up Down,4738031,4738032,-103.52,-18.19,934.57
Up Down,4738040,4738041,-99.12,-20.14,887.21
Up Down,4738050,4738051,-96.19,-12.7,858.52
Up Down,4738060,4738061,-106.2,-6.59,862.06
Up Down,4738070,4738071,-130.74,-21.0,889.4
Up Down,4738080,4738081,-153.08,-33.69,912.84
Up Down,4738090,4738091,-159.06,-9.52,932.13
Up Down,4738100,4738101,-149.66,18.07,925.29
Up Down,4738110,4738111,-141.11,36.5,901.49
Up Down,4738119,4738120,-132.69,68.97,871.34
Up Down,4738129,4738130,-123.29,93.38,842.04
Up Down,4738139,4738140,-124.76,92.9,838.26
Up Down,4738149,4738150,-136.23,88.38,853.76
Up Down,4738159,4738160,-157.35,83.25,880.62
Up Down,4738168,4738169,-172.24,84.59,904.05
Up Down,4738178,4738179,-177.12,94.36,897.83
Up Down,4738188,4738189,-178.59,99.0,867.8
Up Down,4738198,4738199,-169.31,107.42,820.19
Up Down,4738208,4738209,-161.01,115.72,762.45
Up Down,4738218,4738219,-159.79,111.57,713.75
Up Down,4738227,4738228,-156.37,101.68,666.75
Up Down,4738237,4738238,-145.87,97.53,608.52
Up Down,4738247,4738248,-137.33,96.44,547.49
Up Down,4738257,4738258,-141.72,94.73,510.01
Up Down,4738267,4738268,-143.68,100.95,477.66
Up Down,4738277,4738278,-132.81,104.0,426.03
Up Down,4738286,4738287,-127.32,78.49,365.36
Up Down,4738296,4738297,-124.63,48.1,306.52
Up Down,4738306,4738307,-120.12,26.37,250.61
Up Down,4738316,4738317,-121.46,-0.12,203.74
Up Down,4738326,4738327,-130.62,-24.41,217.77
Up Down,4738336,4738337,-143.19,-38.94,269.9
Up Down,4738346,4738347,-142.21,-33.81,318.97
Up Down,4738355,4738356,-142.46,-33.2,392.21
Up Down,4738365,4738366,-151.49,-36.99,478.64
Up Down,4738375,4738376,-157.71,-23.44,552.61
Up Down,4738385,4738386,-131.59,1.95,647.22
Up Down,4738395,4738395,-148.56,16.11,698.73
Up Down,4738405,4738406,-174.32,26.37,682.01
Up Down,4738414,4738415,-118.29,39.92,731.57
Up Down,4738424,4738425,-101.93,38.45,746.7
Up Down,4738434,4738435,-120.73,32.59,707.03
Up Down,4738444,4738445,-110.72,29.05,734.13
Up Down,4738454,4738455,-101.81,34.06,762.94
Up Down,4738463,4738464,-104.61,31.62,785.03
Up Down,4738473,4738474,-109.01,3.54,837.65
Up Down,4738483,4738484,-124.51,-18.19,897.58
Up Down,4738493,4738494,-130.62,-11.72,982.3
Up Down,4738503,4738504,-121.95,3.42,1030.52
Up Down,4738513,4738514,-99.12,20.51,1022.58
Up Down,4738522,4738523,-97.29,19.04,1054.32
Up Down,4738532,4738533,-123.54,-14.4,1048.58
Up Down,4738542,4738543,-130.0,-53.34,1081.18
Up Down,4738552,4738553,-144.17,-84.59,1145.39
Up Down,4738562,4738563,-139.16,-69.58,1147.83
Up Down,4738572,4738573,-96.44,3.3,1153.69
Up Down,4738582,4738583,-60.67,69.46,1135.01
Up Down,4738591,4738592,-50.78,84.59,1145.02
Up Down,4738601,4738602,-77.15,34.18,1226.56
Up Down,4738611,4738612,-129.27,-37.23,1335.33
Up Down,4738621,4738622,-148.56,-42.36,1393.68
Up Down,4738631,4738632,-110.72,2.69,1350.46
Up Down,4738641,4738642,-75.81,23.07,1269.9
Up Down,4738651,4738652,-52.0,44.07,1235.35
Up Down,4738660,4738661,-45.17,90.94,1280.4
Up Down,4738670,4738671,-72.51,87.65,1372.92
Up Down,4738680,4738681,-109.74,37.72,1462.52
Up Down,4738690,4738691,-141.85,13.79,1574.58
Up Down,4738700,4738701,-157.1,2.44,1669.92
Up Down,4738709,4738710,-307.13,153.56,2271.97
Up Down,4738719,4738720,-77.03,271.0,2389.89
Up Down,4738729,4738730,90.21,91.67,1474.73
Up Down,4738739,4738740,-56.03,20.51,1310.91
Up Down,4738749,4738750,-58.11,160.4,1670.78
Up Down,4738759,4738760,-117.07,217.77,1761.35
Up Down,4738768,4738769,-124.76,168.33,1783.94
Up Down,4738778,4738779,-136.96,138.18,1737.18
Up Down,4738788,4738789,-123.66,137.08,1673.1
Up Down,4738798,4738799,-109.37,112.06,1596.92
Up Down,4738808,4738809,-106.32,55.54,1510.5
Up Down,4738818,4738819,-108.28,8.42,1449.58
Up Down,4738828,4738829,-119.87,-35.16,1390.14
Up Down,4738837,4738838,-141.97,-78.25,1341.92
Up Down,4738847,4738848,-156.01,-90.33,1292.6
Up Down,4738857,4738858,-154.05,-91.31,1232.18
Up Down,4738867,4738868,-142.21,-86.3,1170.78
Up Down,4738877,4738878,-115.48,-57.62,1101.81
Up Down,4738886,4738887,-93.38,-11.11,1060.3
Up Down,4738897,4738897,-92.41,25.88,1075.32
Up Down,4738906,4738907,-106.32,24.9,1101.68
Up Down,4738916,4738917,-126.59,-8.54,1085.82
Up Down,4738926,4738927,-128.3,-23.32,1035.03
Up Down,4738936,4738937,-118.53,-13.06,990.72
Up Down,4738945,4738946,-106.08,2.08,937.13
Up Down,4738955,4738956,-90.45,8.54,868.77
Up Down,4738965,4738966,-88.01,-4.52,826.05
Up Down,4738975,4738976,-95.95,-12.57,791.26
Up Down,4738985,4738986,-113.28,-20.39,776.73
Up Down,4738995,4738996,-139.16,-18.19,813.84
Up Down,4739004,4739005,-150.39,15.63,834.72
Up Down,4739014,4739015,-146.61,34.79,806.76
Up Down,4739024,4739025,-146.24,30.64,753.78
Up Down,4739034,4739035,-140.26,44.07,726.56
Up Down,4739044,4739045,-145.51,55.91,724.98
Up Down,4739054,4739054,-158.33,40.04,712.16
Up Down,4739064,4739065,-157.84,32.96,680.18
Up Down,4739074,4739075,-146.36,46.75,627.93
Up Down,4739083,4739084,-137.33,64.94,586.06
Up Down,4739093,4739094,-138.67,82.4,590.45
Up Down,4739103,4739104,-143.31,124.02,599.73
Up Down,4739113,4739114,-111.69,156.98,535.16
Up Down,4739123,4739124,-85.21,156.49,456.67
Up Down,4739132,4739133,-78.25,158.94,381.84
Up Down,4739142,4739143,-50.05,156.01,334.59
Up Down,4739152,4739153,-47.49,151.73,359.74
Up Down,4739162,4739163,-72.39,134.4,375.37
Up Down,4739172,4739173,-92.16,95.46,361.69
Up Down,4739182,4739183,-107.06,49.07,326.29
Up Down,4739191,4739192,-100.95,26.49,276.61
Up Down,4739201,4739202,-69.95,30.03,213.75
Up Down,4739211,4739212,-52.49,12.08,160.52
Up Down,4739221,4739222,-50.54,-12.21,190.06
Up Down,4739231,4739232,-61.89,-12.7,271.85
Up Down,4739241,4739242,-75.44,-6.1,357.54
Up Down,4739250,4739251,-66.28,1.1,486.94
Up Down,4739260,4739261,-85.08,-4.27,536.38
Up Down,4739270,4739271,-100.22,-26.37,561.65
Up Down,4739280,4739281,-65.92,-26.61,679.93
Up Down,4739290,4739291,-62.99,5.0,759.03
