label,timestamp1,timestamp2,x_out,y_out,z_out
forwardsbackwards,4346381,4346382,-10.25,-1.59,1002.2
forwardsbackwards,4346390,4346391,-8.91,-2.08,1001.83
forwardsbackwards,4346400,4346401,-8.54,-2.56,1000.98
forwardsbackwards,4346410,4346411,-9.64,-1.83,1001.22
forwardsbackwards,4346420,4346421,-9.89,-1.1,1001.95
forwardsbackwards,4346430,4346431,-9.28,-1.46,1001.71
forwardsbackwards,4346440,4346441,-9.77,-1.59,1000.98
forwardsbackwards,4346449,4346450,-10.99,-1.59,1001.22
forwardsbackwards,4346459,4346460,-11.47,-1.59,1001.22
forwardsbackwards,4346469,4346470,-10.86,-0.98,1000.73
forwardsbackwards,4346479,4346480,-11.23,-0.73,1001.34
forwardsbackwards,4346489,4346490,-10.86,-0.61,1001.83
forwardsbackwards,4346499,4346500,-10.38,-1.1,1001.95
forwardsbackwards,4346508,4346509,-10.5,-1.46,1002.08
forwardsbackwards,4346518,4346519,-10.25,-1.1,1001.95
forwardsbackwards,4346528,4346529,-9.52,-1.22,1001.1
forwardsbackwards,4346538,4346539,-9.03,-1.22,1000.73
forwardsbackwards,4346548,4346549,-9.16,-1.34,1001.34
forwardsbackwards,4346558,4346559,-10.13,-0.98,1001.83
forwardsbackwards,4346567,4346568,-11.6,1.46,1001.95
forwardsbackwards,4346577,4346578,-10.38,3.05,1001.95
forwardsbackwards,4346587,4346588,-10.01,12.7,1001.95
forwardsbackwards,4346597,4346598,-13.55,57.5,1002.56
forwardsbackwards,4346607,4346608,-17.94,153.2,1001.22
forwardsbackwards,4346617,4346618,-16.48,236.33,999.76
forwardsbackwards,4346627,4346628,-14.77,251.95,1000.24
forwardsbackwards,4346637,4346638,-19.78,238.65,999.51
forwardsbackwards,4346646,4346647,-28.69,212.89,1001.1
forwardsbackwards,4346656,4346657,-50.78,163.82,1000.98
forwardsbackwards,4346666,4346667,-62.87,124.15,999.02
forwardsbackwards,4346676,4346677,-63.11,86.43,1000.73
forwardsbackwards,4346685,4346686,-51.88,65.8,998.78
forwardsbackwards,4346696,4346697,-18.92,76.05,1001.1
forwardsbackwards,4346705,4346706,21.0,99.85,1005.37
forwardsbackwards,4346715,4346716,33.57,97.05,1003.42
forwardsbackwards,4346725,4346726,12.45,33.69,1002.44
forwardsbackwards,4346735,4346736,-2.56,-5.98,1004.39
forwardsbackwards,4346745,4346746,-13.79,-16.48,1003.78
forwardsbackwards,4346754,4346755,-29.42,-13.43,1000.37
forwardsbackwards,4346764,4346765,-30.03,20.75,1001.83
forwardsbackwards,4346774,4346775,-13.18,33.57,1000.85
forwardsbackwards,4346784,4346785,-5.13,13.18,999.39
forwardsbackwards,4346794,4346795,-9.03,-38.09,1001.83
forwardsbackwards,4346804,4346805,-4.27,-114.5,1002.32
forwardsbackwards,4346813,4346814,6.35,-218.26,1003.42
forwardsbackwards,4346823,4346824,8.18,-342.16,1003.17
forwardsbackwards,4346833,4346834,7.2,-407.84,1004.03
forwardsbackwards,4346843,4346844,17.82,-397.22,1005.25
forwardsbackwards,4346853,4346854,35.16,-310.55,1003.54
forwardsbackwards,4346863,4346863,26.25,-139.77,1001.34
forwardsbackwards,4346873,4346873,3.54,-28.44,999.39
forwardsbackwards,4346883,4346883,-0.24,-73.24,1001.71
forwardsbackwards,4346892,4346893,8.54,-217.77,1004.64
forwardsbackwards,4346902,4346903,-0.61,-301.51,1002.08
forwardsbackwards,4346912,4346913,-14.77,-310.42,1000.49
forwardsbackwards,4346922,4346923,-13.92,-342.53,1001.1
forwardsbackwards,4346932,4346933,-6.96,-359.62,1002.81
forwardsbackwards,4346941,4346942,9.77,-341.67,1002.32
forwardsbackwards,4346951,4346952,22.22,-279.91,1002.69
forwardsbackwards,4346961,4346962,30.88,-180.66,1006.47
forwardsbackwards,4346971,4346972,44.07,-87.28,1003.91
forwardsbackwards,4346981,4346982,34.18,-13.92,1001.46
forwardsbackwards,4346991,4346992,12.94,39.79,999.63
forwardsbackwards,4347000,4347001,0.12,45.04,1001.34
forwardsbackwards,4347010,4347011,-13.79,9.77,1003.78
forwardsbackwards,4347020,4347021,-21.48,-9.64,1001.95
forwardsbackwards,4347030,4347031,-26.12,5.0,1001.1
forwardsbackwards,4347040,4347041,-31.74,16.72,1001.83
forwardsbackwards,4347050,4347051,-41.99,25.27,1001.22
forwardsbackwards,4347060,4347061,-52.73,39.92,1001.71
forwardsbackwards,4347069,4347070,-53.34,65.92,1001.71
forwardsbackwards,4347079,4347080,-41.5,109.99,998.17
forwardsbackwards,4347089,4347090,-28.81,151.73,1000.24
forwardsbackwards,4347099,4347100,-20.51,176.76,1003.05
forwardsbackwards,4347108,4347109,-9.28,194.58,1002.44
forwardsbackwards,4347118,4347119,1.95,219.6,1001.71
forwardsbackwards,4347128,4347129,9.77,254.27,1002.56
forwardsbackwards,4347138,4347139,8.91,280.88,1003.66
forwardsbackwards,4347148,4347149,-0.12,280.76,1002.44
forwardsbackwards,4347158,4347159,-9.77,265.87,1001.95
forwardsbackwards,4347168,4347169,-16.36,219.24,1001.1
forwardsbackwards,4347177,4347178,-16.24,94.6,1001.1
forwardsbackwards,4347187,4347188,-14.53,11.96,1003.54
forwardsbackwards,4347197,4347198,-23.56,86.91,1002.56
forwardsbackwards,4347207,4347208,-31.37,257.81,1000.85
forwardsbackwards,4347217,4347218,-4.39,378.66,1000.0
forwardsbackwards,4347227,4347227,29.05,381.1,998.66
forwardsbackwards,4347236,4347237,36.13,343.63,1000.12
forwardsbackwards,4347246,4347247,30.76,327.88,1002.32
forwardsbackwards,4347256,4347257,18.31,314.21,1001.22
forwardsbackwards,4347266,4347267,-6.35,239.99,999.63
forwardsbackwards,4347276,4347277,-40.65,125.73,999.15
forwardsbackwards,4347286,4347286,-61.52,44.43,999.02
forwardsbackwards,4347296,4347297,-58.11,-9.4,1000.37
forwardsbackwards,4347305,4347306,-43.09,-21.73,999.51
forwardsbackwards,4347315,4347316,-30.4,2.08,997.8
forwardsbackwards,4347325,4347326,-8.42,29.54,1001.34
forwardsbackwards,4347335,4347336,9.4,63.23,1003.3
