label,timestamp1,timestamp2,x_out,y_out,z_out
leftright,4410900,4410900,-23.68,-3.66,1003.17
leftright,4410909,4410910,-27.71,-15.14,1004.52
leftright,4410919,4410920,-26.49,-8.54,1002.69
leftright,4410929,4410930,-28.08,2.69,1001.1
leftright,4410939,4410940,-32.96,12.45,1002.44
leftright,4410949,4410950,-25.88,17.33,1002.44
leftright,4410959,4410959,-23.8,8.91,1003.54
leftright,4410968,4410969,-25.39,11.47,1008.67
leftright,4410978,4410979,-21.73,2.93,1013.43
leftright,4410988,4410989,-18.68,-27.22,1000.24
leftright,4410998,4410999,-17.7,-41.14,989.26
leftright,4411008,4411009,-20.51,-35.4,992.07
leftright,4411017,4411018,-10.5,-41.63,998.29
leftright,4411028,4411028,-7.81,-37.48,1004.39
leftright,4411037,4411038,-26.61,-16.48,1004.03
leftright,4411047,4411048,-37.96,0.37,1005.0
leftright,4411057,4411058,-43.33,14.89,1006.47
leftright,4411067,4411068,-45.04,20.75,1005.13
leftright,4411077,4411078,-45.17,19.78,1002.93
leftright,4411086,4411087,-44.07,12.94,1000.73
leftright,4411096,4411097,-40.77,0.12,1000.0
leftright,4411106,4411107,-39.79,-2.32,1001.71
leftright,4411116,4411117,-45.78,-0.12,1004.64
leftright,4411126,4411126,-68.12,-1.95,1005.13
leftright,4411135,4411136,-140.26,-10.01,1001.71
leftright,4411146,4411146,-267.09,-25.39,997.07
leftright,4411155,4411156,-343.02,-48.71,993.53
leftright,4411165,4411166,-337.04,-72.02,994.75
leftright,4411175,4411176,-328.37,-74.58,996.34
leftright,4411185,4411186,-338.38,-61.04,993.29
leftright,4411194,4411195,-328.49,-38.57,993.16
leftright,4411204,4411205,-310.18,-13.92,994.14
leftright,4411214,4411215,-298.71,4.27,992.8
leftright,4411224,4411225,-286.99,0.12,994.75
leftright,4411234,4411235,-270.39,-29.66,996.34
leftright,4411244,4411245,-252.08,-43.33,996.83
leftright,4411254,4411255,-237.55,-55.79,997.92
leftright,4411263,4411264,-218.26,-72.88,1004.39
leftright,4411273,4411274,-163.7,-58.96,1005.25
leftright,4411283,4411284,-114.75,-25.27,1000.49
leftright,4411293,4411294,-99.49,-2.32,1001.46
leftright,4411303,4411304,-46.75,12.33,1002.56
leftright,4411312,4411313,-6.84,33.08,1003.05
leftright,4411323,4411324,23.32,54.08,1002.69
leftright,4411332,4411333,87.28,73.12,1006.96
leftright,4411342,4411343,125.73,73.73,1007.69
leftright,4411352,4411353,175.29,51.03,1006.23
leftright,4411362,4411363,266.48,49.93,1007.32
leftright,4411372,4411373,335.08,53.22,1006.35
leftright,4411382,4411383,368.77,28.2,1010.5
leftright,4411391,4411392,403.93,-0.61,1014.4
leftright,4411401,4411402,464.11,-7.32,1018.07
leftright,4411411,4411412,488.53,-7.81,1021.48
leftright,4411421,4411422,495.12,-31.01,1020.75
leftright,4411431,4411432,499.63,-54.69,1018.55
leftright,4411441,4411442,285.03,-40.16,1014.04
leftright,4411450,4411451,86.43,-28.32,1009.4
leftright,4411460,4411461,243.65,-77.27,1012.45
leftright,4411470,4411471,444.34,-110.72,1017.09
leftright,4411480,4411481,479.98,-101.44,1018.68
leftright,4411489,4411490,461.55,-78.98,1021.36
leftright,4411499,4411500,436.04,-46.63,1021.97
leftright,4411509,4411510,411.01,-34.55,1022.09
leftright,4411519,4411520,387.21,-41.02,1015.5
leftright,4411529,4411530,326.42,-38.82,1006.96
leftright,4411539,4411540,261.23,-41.5,1007.45
leftright,4411549,4411549,207.89,-45.41,1011.23
leftright,4411558,4411559,174.68,-26.98,1012.94
leftright,4411568,4411569,176.88,9.28,1010.99
leftright,4411578,4411579,155.76,21.97,1008.18
leftright,4411588,4411589,110.96,-4.15,1011.35
leftright,4411598,4411599,88.99,-9.16,1009.89
leftright,4411607,4411608,70.56,-11.72,1005.62
leftright,4411617,4411618,31.98,-39.67,1007.81
leftright,4411627,4411628,-1.71,-47.24,1011.11
leftright,4411637,4411638,-17.46,-21.61,1010.25
leftright,4411647,4411648,-19.9,11.6,1002.69
leftright,4411657,4411658,-19.04,71.78,989.99
leftright,4411667,4411668,-37.96,119.26,991.58
leftright,4411677,4411678,-82.28,101.56,1005.74
leftright,4411687,4411688,-112.92,83.74,1008.42
leftright,4411696,4411697,-140.99,70.07,1003.54
leftright,4411706,4411707,-192.87,27.71,1000.49
leftright,4411716,4411717,-247.31,-31.74,1000.24
leftright,4411726,4411727,-292.6,-66.28,997.44
leftright,4411736,4411737,-334.59,-60.55,994.26
