label,timestamp1,timestamp2,x_out,y_out,z_out
stationary,4133104,4133105,-39.43,-11.72,999.39
stationary,4133113,4133114,-39.92,-11.6,999.88
stationary,4133123,4133124,-39.55,-10.99,1000.12
stationary,4133133,4133134,-39.79,-10.99,1000.12
stationary,4133143,4133144,-40.28,-11.6,1000.0
stationary,4133153,4133154,-39.67,-12.33,999.27
stationary,4133162,4133163,-40.16,-12.7,999.39
stationary,4133173,4133173,-40.53,-12.08,1000.37
stationary,4133182,4133183,-39.67,-11.84,1000.12
stationary,4133192,4133193,-38.94,-12.21,999.39
stationary,4133202,4133203,-38.82,-11.35,998.54
stationary,4133212,4133213,-39.43,-11.11,999.15
stationary,4133222,4133223,-40.04,-11.96,999.76
stationary,4133231,4133232,-39.79,-11.96,999.39
stationary,4133241,4133242,-39.92,-11.6,998.9
stationary,4133251,4133252,-40.41,-11.23,998.29
stationary,4133261,4133262,-40.28,-10.99,998.78
stationary,4133271,4133272,-39.43,-11.72,999.15
stationary,4133281,4133282,-39.31,-11.96,999.15
stationary,4133290,4133291,-39.43,-11.35,999.51
stationary,4133300,4133301,-39.31,-11.47,1000.0
stationary,4133310,4133311,-40.04,-11.84,1000.0
stationary,4133320,4133321,-40.04,-12.33,999.63
stationary,4133330,4133331,-39.43,-12.45,999.02
stationary,4133340,4133341,-39.43,-11.72,998.66
stationary,4133349,4133350,-40.04,-11.35,999.15
stationary,4133359,4133360,-40.28,-11.35,999.15
stationary,4133369,4133370,-39.55,-11.72,998.66
stationary,4133379,4133380,-39.43,-11.96,998.9
stationary,4133389,4133390,-39.79,-11.96,999.27
stationary,4133399,4133399,-40.28,-11.72,999.15
stationary,4133409,4133410,-40.04,-11.96,999.88
stationary,4133418,4133419,-40.28,-12.08,1000.24
stationary,4133428,4133429,-40.16,-12.08,1000.0
stationary,4133438,4133439,-39.06,-11.96,999.88
stationary,4133448,4133449,-38.7,-12.21,999.88
stationary,4133458,4133459,-39.31,-11.96,999.63
stationary,4133467,4133468,-39.43,-11.84,999.39
stationary,4133477,4133478,-39.67,-11.96,999.15
stationary,4133487,4133488,-40.16,-11.35,999.15
stationary,4133497,4133498,-40.04,-11.11,999.51
stationary,4133507,4133508,-39.92,-10.99,999.63
stationary,4133517,4133518,-39.67,-11.6,999.51
stationary,4133526,4133527,-39.43,-12.08,999.27
stationary,4133536,4133537,-39.43,-11.35,998.78
stationary,4133546,4133547,-39.55,-11.47,998.66
stationary,4133556,4133557,-39.43,-12.21,999.15
stationary,4133566,4133567,-39.79,-12.21,1000.0
stationary,4133576,4133576,-39.79,-12.21,1000.24
stationary,4133586,4133587,-39.92,-11.96,999.88
stationary,4133595,4133596,-40.28,-11.47,999.15
stationary,4133605,4133606,-39.92,-11.6,998.78
stationary,4133615,4133616,-39.92,-12.21,998.9
stationary,4133625,4133626,-39.92,-12.57,999.15
stationary,4133635,4133636,-39.18,-11.96,999.76
stationary,4133644,4133645,-39.43,-11.84,999.63
stationary,4133654,4133655,-39.79,-12.45,998.78
stationary,4133664,4133665,-40.28,-11.72,999.76
stationary,4133674,4133675,-40.04,-11.72,1000.85
stationary,4133684,4133685,-39.18,-12.45,1000.0
stationary,4133694,4133695,-38.94,-12.21,999.27
stationary,4133703,4133704,-39.18,-12.08,999.39
stationary,4133714,4133714,-39.43,-11.96,999.76
stationary,4133723,4133724,-39.18,-11.72,999.51
stationary,4133733,4133734,-39.31,-12.08,999.15
stationary,4133743,4133744,-39.55,-12.33,999.02
stationary,4133753,4133754,-39.43,-12.57,999.27
stationary,4133763,4133764,-39.67,-11.96,999.76
stationary,4133772,4133773,-40.16,-11.72,1000.12
stationary,4133782,4133783,-39.79,-11.6,1000.0
stationary,4133792,4133793,-39.67,-11.35,999.27
stationary,4133802,4133803,-39.79,-11.96,999.27
stationary,4133812,4133813,-39.55,-11.96,999.51
stationary,4133822,4133822,-39.18,-11.72,999.76
stationary,4133832,4133833,-39.92,-11.72,999.39
stationary,4133841,4133842,-40.53,-11.11,999.39
stationary,4133851,4133852,-40.28,-11.23,999.88
stationary,4133861,4133862,-39.92,-11.6,999.63
stationary,4133871,4133872,-39.43,-11.47,999.39
stationary,4133881,4133881,-39.67,-10.99,999.63
stationary,4133891,4133892,-40.41,-11.35,999.88
stationary,4133900,4133901,-40.41,-11.72,1000.0
stationary,4133910,4133911,-39.92,-12.08,1000.12
stationary,4133920,4133921,-39.92,-11.96,999.76
stationary,4133930,4133931,-40.16,-11.6,999.51
stationary,4133940,4133941,-39.67,-11.47,999.39
stationary,4133949,4133950,-39.67,-11.47,998.9
stationary,4133959,4133960,-39.92,-11.84,998.9
stationary,4133969,4133970,-39.67,-11.84,999.39
stationary,4133979,4133980,-39.79,-11.47,999.39
stationary,4133989,4133990,-40.16,-11.23,999.02
stationary,4133999,4134000,-39.92,-11.6,999.02
stationary,4134008,4134009,-39.55,-12.21,999.39
stationary,4134018,4134019,-39.67,-11.84,999.63
stationary,4134028,4134029,-39.43,-11.47,999.39
stationary,4134038,4134039,-39.55,-11.96,999.15
stationary,4134048,4134049,-40.04,-12.08,999.15
stationary,4134058,4134059,-39.55,-11.96,999.15
stationary,4134068,4134069,-39.06,-11.96,999.02
stationary,4134077,4134078,-39.79,-11.84,999.02
stationary,4134087,4134088,-40.04,-11.84,999.15
stationary,4134097,4134098,-39.06,-12.21,999.51
stationary,4134107,4134108,-38.82,-11.96,999.88
stationary,4134117,4134118,-39.06,-11.23,999.76
stationary,4134126,4134127,-39.55,-11.6,999.63
stationary,4134137,4134137,-40.77,-11.84,999.27
stationary,4134146,4134147,-40.89,-12.08,998.9
stationary,4134156,4134157,-40.04,-12.33,999.51
stationary,4134166,4134167,-39.43,-11.96,999.63
stationary,4134176,4134177,-39.92,-11.72,999.39
stationary,4134186,4134187,-39.92,-11.72,999.63
stationary,4134195,4134196,-39.55,-12.08,999.51
stationary,4134205,4134206,-39.79,-11.84,999.76
stationary,4134215,4134216,-39.79,-11.35,1000.24
stationary,4134225,4134226,-40.04,-11.35,999.51
stationary,4134235,4134236,-40.16,-11.6,999.15
stationary,4134245,4134246,-40.16,-11.6,999.51
stationary,4134254,4134255,-40.04,-11.72,999.88
stationary,4134264,4134265,-39.67,-11.6,999.51
stationary,4134274,4134275,-39.55,-11.23,999.63
stationary,4134284,4134285,-39.67,-11.11,999.76
stationary,4134294,4134295,-39.79,-10.86,999.63
stationary,4134303,4134304,-39.55,-11.23,1000.12
stationary,4134314,4134314,-39.43,-11.47,1000.37
stationary,4134323,4134324,-39.18,-11.47,1000.0
stationary,4134333,4134334,-39.31,-12.08,1000.0
stationary,4134343,4134344,-40.04,-12.08,999.76
stationary,4134353,4134354,-40.04,-11.84,999.15
stationary,4134363,4134363,-39.67,-11.47,999.76
stationary,4134373,4134374,-39.67,-10.86,999.63
stationary,4134382,4134383,-39.31,-11.35,999.39
stationary,4134392,4134393,-39.06,-12.08,999.39
stationary,4134402,4134403,-39.18,-11.84,999.15
stationary,4134412,4134413,-39.79,-11.72,999.27
stationary,4134422,4134423,-40.04,-12.08,999.39
stationary,4134431,4134432,-40.04,-11.72,999.15
stationary,4134441,4134442,-39.67,-11.23,999.39
stationary,4134451,4134452,-38.94,-11.84,1000.12
stationary,4134461,4134462,-39.43,-11.96,999.88
stationary,4134471,4134472,-40.53,-11.23,999.63
stationary,4134481,4134481,-40.28,-10.99,999.88
stationary,4134491,4134492,-39.55,-10.99,1000.0
stationary,4134500,4134501,-39.43,-11.11,999.76
stationary,4134510,4134511,-39.31,-11.6,999.63
stationary,4134520,4134521,-39.18,-11.96,999.27
stationary,4134530,4134531,-39.92,-11.84,999.63
stationary,4134540,4134541,-39.79,-11.84,1000.37
stationary,4134549,4134550,-39.31,-12.45,1000.37
stationary,4134559,4134560,-39.67,-12.08,1000.0
stationary,4134569,4134570,-39.67,-11.6,999.51
stationary,4134579,4134580,-39.67,-11.6,999.39
stationary,4134589,4134590,-39.92,-11.6,999.51
stationary,4134599,4134600,-40.04,-11.72,999.15
stationary,4134608,4134609,-40.53,-12.21,999.27
stationary,4134618,4134619,-41.02,-13.18,999.51
stationary,4134628,4134629,-40.53,-12.33,999.51
stationary,4134638,4134639,-39.67,-10.99,1000.0
stationary,4134648,4134649,-39.55,-11.11,1000.37
stationary,4134658,4134659,-39.92,-11.72,1000.61
stationary,4134668,4134669,-40.16,-11.84,999.88
stationary,4134677,4134678,-40.41,-11.72,999.76
stationary,4134687,4134688,-39.79,-11.6,1000.0
stationary,4134697,4134698,-39.31,-11.72,1000.24
stationary,4134707,4134708,-39.92,-12.33,1000.0
stationary,4134717,4134718,-40.04,-12.57,999.51
stationary,4134727,4134727,-39.55,-11.6,999.27
stationary,4134737,4134737,-39.31,-11.23,999.27
stationary,4134746,4134747,-39.92,-11.35,999.15
stationary,4134756,4134757,-40.04,-11.96,999.39
stationary,4134766,4134767,-39.55,-12.45,999.88
stationary,4134776,4134777,-39.43,-12.08,999.63
stationary,4134786,4134787,-39.31,-12.08,999.51
stationary,4134795,4134796,-39.55,-11.96,999.63
stationary,4134805,4134806,-40.41,-11.47,999.51
stationary,4134815,4134816,-40.28,-12.08,999.76
stationary,4134825,4134826,-40.04,-12.08,1000.0
stationary,4134835,4134836,-40.04,-10.99,1000.0
stationary,4134845,4134846,-40.16,-11.35,999.76
stationary,4134854,4134855,-40.28,-11.84,999.02
stationary,4134864,4134865,-39.67,-11.96,999.63
stationary,4134874,4134875,-39.31,-12.21,1000.49
stationary,4134884,4134885,-39.31,-11.84,1000.0
stationary,4134894,4134895,-40.04,-11.6,999.88
stationary,4134904,4134905,-40.41,-11.47,999.51
stationary,4134913,4134914,-39.92,-10.99,999.39
stationary,4134923,4134924,-39.67,-10.99,999.88
