label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
Bicep curl,,,-7.88026237487793,2.0248539447784424,-17.751073837280273
Bicep curl,,,-33.327640533447266,8.610260963439941,-74.90419006347656
Bicep curl,,,-98.87519073486328,25.627063751220703,-221.72303771972656
Bicep curl,,,-197.67478942871094,51.45330810546875,-441.9198913574219
Bicep curl,,,-298.1894226074219,77.89517211914062,-664.2842407226562
Bicep curl,,,-367.3989562988281,96.05835723876953,-817.231689453125
Bicep curl,,,-395.0739440917969,102.86288452148438,-883.2531127929688
Bicep curl,,,-400.9356384277344,103.49694061279297,-910.94091796875
Bicep curl,,,-395.4688415527344,101.49583435058594,-920.0132446289062
Bicep curl,,,-391.0049133300781,100.68033599853516,-925.6472778320312
Bicep curl,,,-390.7157287597656,101.62731170654297,-925.9331665039062
Bicep curl,,,-393.09979248046875,103.4212417602539,-921.383056640625
Bicep curl,,,-395.1838684082031,105.23744201660156,-914.7799072265625
Bicep curl,,,-396.96112060546875,107.11832427978516,-908.9833984375
Bicep curl,,,-400.5813903808594,109.28742980957031,-905.2925415039062
Bicep curl,,,-405.91192626953125,111.12905883789062,-904.2587280273438
Bicep curl,,,-410.2228088378906,111.89520263671875,-906.0864868164062
Bicep curl,,,-411.817626953125,111.6511459350586,-910.3334350585938
Bicep curl,,,-411.0220947265625,110.91372680664062,-916.272705078125
Bicep curl,,,-408.61102294921875,109.92015075683594,-923.3031616210938
Bicep curl,,,-404.7193603515625,108.41070556640625,-931.4989013671875
Bicep curl,,,-400.0833740234375,106.49971771240234,-941.5490112304688
Bicep curl,,,-397.5580139160156,105.01675415039062,-953.69775390625
Bicep curl,,,-400.6635437011719,104.85375213623047,-966.5938110351562
Bicep curl,,,-410.6941833496094,106.5497055053711,-978.2846069335938
Bicep curl,,,-425.7984313964844,110.00753784179688,-988.2232055664062
Bicep curl,,,-442.3238525390625,114.56847381591797,-999.051025390625
Bicep curl,,,-457.7835693359375,119.1815185546875,-1015.7328491210938
Bicep curl,,,-472.1916198730469,123.65846252441406,-1040.1126708984375
Bicep curl,,,-485.391845703125,129.04202270507812,-1068.13134765625
Bicep curl,,,-495.4557800292969,136.75253295898438,-1092.3995361328125
Bicep curl,,,-500.8504333496094,147.82958984375,-1108.3126220703125
Bicep curl,,,-503.027099609375,161.74269104003906,-1117.5941162109375
Bicep curl,,,-505.0848388671875,176.99118041992188,-1124.9007568359375
Bicep curl,,,-507.7193908691406,192.0611114501953,-1133.43701171875
Bicep curl,,,-508.9020690917969,206.58929443359375,-1143.1243896484375
Bicep curl,,,-506.8534240722656,221.3192138671875,-1150.8897705078125
Bicep curl,,,-502.2525329589844,236.9765167236328,-1153.1104736328125
Bicep curl,,,-498.2694091796875,253.63058471679688,-1147.649169921875
Bicep curl,,,-497.6521301269531,270.2564697265625,-1134.8280029296875
Bicep curl,,,-500.4833068847656,285.4149169921875,-1118.3240966796875
Bicep curl,,,-505.3527526855469,298.0421142578125,-1102.482666015625
Bicep curl,,,-510.6236877441406,308.1058044433594,-1088.6925048828125
Bicep curl,,,-515.3049926757812,316.43182373046875,-1074.72998046875
Bicep curl,,,-519.1339111328125,324.27874755859375,-1056.4364013671875
Bicep curl,,,-522.1494140625,332.4232177734375,-1032.9193115234375
Bicep curl,,,-524.31396484375,340.46923828125,-1009.7772827148438
Bicep curl,,,-524.5419311523438,347.4234619140625,-995.1168212890625
Bicep curl,,,-521.4361572265625,353.4986877441406,-993.1512451171875
Bicep curl,,,-514.969482421875,360.1746520996094,-997.1873779296875
Bicep curl,,,-507.3990783691406,368.9532470703125,-993.0770874023438
Bicep curl,,,-501.9498596191406,381.35260009765625,-970.2944946289062
Bicep curl,,,-500.2015075683594,397.63134765625,-927.5333862304688
Bicep curl,,,-501.7070617675781,417.06793212890625,-874.4235229492188
Bicep curl,,,-505.2752990722656,437.6116943359375,-824.5299682617188
Bicep curl,,,-509.1062316894531,456.2700500488281,-787.7369995117188
Bicep curl,,,-509.9342956542969,471.5306091308594,-764.9366455078125
Bicep curl,,,-504.4050598144531,483.91522216796875,-748.9548950195312
Bicep curl,,,-490.89874267578125,495.56793212890625,-733.1414794921875
Bicep curl,,,-469.5051574707031,507.8644714355469,-714.8871459960938
Bicep curl,,,-441.9423522949219,520.5255737304688,-694.259765625
Bicep curl,,,-411.6593933105469,532.8644409179688,-671.4784545898438
Bicep curl,,,-384.21148681640625,543.9937133789062,-647.194580078125
Bicep curl,,,-364.8816223144531,552.3132934570312,-623.591796875
Bicep curl,,,-354.74237060546875,559.1759033203125,-602.745849609375
Bicep curl,,,-350.1737060546875,567.906494140625,-584.2615356445312
