label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
BicepCurl,,,0.4187335669994354,0.9016393423080444,-32.63720703125
BicepCurl,,,1.3021719455718994,2.6777236461639404,-137.68589782714844
BicepCurl,,,0.44245147705078125,5.849122524261475,-405.3663635253906
BicepCurl,,,-9.046213150024414,5.772200584411621,-801.6036376953125
BicepCurl,,,-39.190895080566406,-1.9999642372131348,-1186.1767578125
BicepCurl,,,-93.82624053955078,-16.07318687438965,-1421.5047607421875
BicepCurl,,,-162.32740783691406,-31.770666122436523,-1476.7127685546875
BicepCurl,,,-227.5227813720703,-45.16217803955078,-1448.5157470703125
BicepCurl,,,-278.54595947265625,-58.90631866455078,-1384.66162109375
BicepCurl,,,-312.8409729003906,-73.07395935058594,-1326.40771484375
BicepCurl,,,-328.0466003417969,-84.01642608642578,-1283.348876953125
BicepCurl,,,-324.505615234375,-86.06365966796875,-1258.5322265625
BicepCurl,,,-307.0676574707031,-76.32128143310547,-1247.9615478515625
BicepCurl,,,-284.04547119140625,-58.27470779418945,-1242.7874755859375
BicepCurl,,,-262.6405334472656,-37.19926071166992,-1234.146484375
BicepCurl,,,-246.05014038085938,-17.629669189453125,-1214.4176025390625
BicepCurl,,,-234.7274169921875,-1.0863735675811768,-1180.6478271484375
BicepCurl,,,-227.09197998046875,12.532513618469238,-1136.2200927734375
BicepCurl,,,-221.6540985107422,23.46103858947754,-1088.1685791015625
BicepCurl,,,-216.10858154296875,32.778560638427734,-1044.5206298828125
BicepCurl,,,-207.48287963867188,39.834014892578125,-1009.5798950195312
BicepCurl,,,-195.4180908203125,44.110572814941406,-984.2509765625
BicepCurl,,,-182.01329040527344,47.05257034301758,-967.5111083984375
BicepCurl,,,-169.97116088867188,50.58035659790039,-956.5489501953125
BicepCurl,,,-161.29315185546875,55.12704086303711,-947.8839111328125
BicepCurl,,,-157.07456970214844,58.16389083862305,-937.7386474609375
BicepCurl,,,-157.63034057617188,56.70074462890625,-924.38623046875
BicepCurl,,,-161.76861572265625,50.2716064453125,-909.2363891601562
BicepCurl,,,-166.23416137695312,40.83137130737305,-896.142578125
BicepCurl,,,-167.7356719970703,30.5089054107666,-889.5562133789062
BicepCurl,,,-164.45330810546875,20.03424072265625,-892.3421020507812
BicepCurl,,,-157.25355529785156,8.774923324584961,-904.2859497070312
BicepCurl,,,-148.8925018310547,-3.2791671752929688,-922.7322998046875
BicepCurl,,,-141.19766235351562,-14.845243453979492,-943.74755859375
BicepCurl,,,-134.71878051757812,-24.756845474243164,-962.5404052734375
BicepCurl,,,-129.91909790039062,-32.291900634765625,-975.5360107421875
BicepCurl,,,-127.92215728759766,-37.0460319519043,-982.701904296875
BicepCurl,,,-129.42259216308594,-39.15626525878906,-987.479248046875
BicepCurl,,,-133.3562469482422,-39.24296569824219,-993.4808349609375
BicepCurl,,,-137.5274658203125,-37.8014030456543,-1001.6192626953125
BicepCurl,,,-140.63265991210938,-34.672889709472656,-1010.5419921875
BicepCurl,,,-143.0887451171875,-29.6274471282959,-1018.7014770507812
BicepCurl,,,-145.81822204589844,-23.269412994384766,-1025.73486328125
BicepCurl,,,-149.2860870361328,-16.797990798950195,-1032.408447265625
BicepCurl,,,-153.11155700683594,-10.935569763183594,-1040.37646484375
BicepCurl,,,-156.45408630371094,-5.673460960388184,-1052.207763671875
BicepCurl,,,-159.0075225830078,-1.1083651781082153,-1070.335205078125
BicepCurl,,,-161.3740692138672,2.1784279346466064,-1095.5604248046875
BicepCurl,,,-165.14007568359375,3.7236571311950684,-1127.2479248046875
BicepCurl,,,-171.62667846679688,3.9154744148254395,-1165.22265625
BicepCurl,,,-180.5615234375,3.2849462032318115,-1211.406494140625
BicepCurl,,,-190.64646911621094,1.9023585319519043,-1268.0386962890625
BicepCurl,,,-201.26243591308594,0.20625552535057068,-1333.6260986328125
BicepCurl,,,-214.2937774658203,-0.32698118686676025,-1401.1248779296875
BicepCurl,,,-233.43536376953125,2.0070462226867676,-1460.856689453125
BicepCurl,,,-258.5854187011719,7.7126569747924805,-1508.43505859375
BicepCurl,,,-285.0624694824219,17.145517349243164,-1545.1529541015625
BicepCurl,,,-308.65252685546875,32.94445037841797,-1571.240478515625
BicepCurl,,,-327.4392395019531,56.87725830078125,-1583.8040771484375
BicepCurl,,,-341.6675720214844,87.39144897460938,-1576.98095703125
BicepCurl,,,-353.3382873535156,121.65864562988281,-1543.4390869140625
BicepCurl,,,-366.3093566894531,158.50233459472656,-1478.4307861328125
BicepCurl,,,-382.77069091796875,198.0769500732422,-1387.6253662109375
