label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
Chest press,,,3.9094576835632324,12.46716022491455,17.398731231689453
Chest press,,,16.348346710205078,52.49259567260742,73.4262466430664
Chest press,,,48.07601547241211,154.8128662109375,217.12744140625
Chest press,,,94.86849212646484,306.4767150878906,431.9754638671875
Chest press,,,140.6700439453125,454.9817199707031,646.9075927734375
Chest press,,,170.11917114257812,547.7522583007812,790.4376220703125
Chest press,,,180.40933227539062,572.5042114257812,845.3556518554688
Chest press,,,183.3763885498047,566.1773071289062,860.9675903320312
Chest press,,,184.17874145507812,546.7484741210938,860.0980834960938
Chest press,,,186.10556030273438,528.5739135742188,861.999267578125
Chest press,,,186.99945068359375,511.7490234375,867.055419921875
Chest press,,,184.26248168945312,495.3945007324219,872.9447021484375
Chest press,,,177.18292236328125,478.8641357421875,875.6347045898438
Chest press,,,168.05357360839844,462.4812316894531,872.1398315429688
Chest press,,,160.0193328857422,447.4185791015625,862.416015625
Chest press,,,154.70742797851562,434.9168395996094,849.0916748046875
Chest press,,,151.3462371826172,425.5535888671875,835.7894897460938
Chest press,,,148.3893585205078,419.3597106933594,825.8075561523438
Chest press,,,145.51895141601562,416.1593933105469,821.2984008789062
Chest press,,,143.45704650878906,415.4425964355469,822.7190551757812
Chest press,,,142.4748992919922,416.3987121582031,828.9088745117188
Chest press,,,141.40419006347656,417.88055419921875,838.1148071289062
Chest press,,,139.29005432128906,418.6443786621094,848.7677001953125
Chest press,,,137.2051544189453,417.76971435546875,859.061279296875
Chest press,,,137.53890991210938,414.80755615234375,866.941650390625
Chest press,,,141.48544311523438,409.9962158203125,871.2666625976562
Chest press,,,147.5393524169922,404.0787353515625,872.8834838867188
Chest press,,,152.76910400390625,397.9263916015625,873.8694458007812
Chest press,,,155.1160125732422,392.3241271972656,875.2490844726562
Chest press,,,154.7403564453125,387.64501953125,875.8896484375
Chest press,,,153.1859130859375,384.0251159667969,873.8563842773438
Chest press,,,151.20167541503906,381.40771484375,868.9482421875
Chest press,,,147.49951171875,379.189697265625,863.8472290039062
Chest press,,,139.9771728515625,376.2369079589844,862.4197998046875
Chest press,,,128.9396209716797,371.7945251464844,866.7275390625
Chest press,,,118.67405700683594,366.8198547363281,875.4945678710938
Chest press,,,115.01321411132812,363.8770446777344,885.1769409179688
Chest press,,,121.1407241821289,365.5906982421875,892.43359375
Chest press,,,135.2786102294922,372.86474609375,896.0956420898438
Chest press,,,152.11903381347656,384.7607116699219,897.4127197265625
Chest press,,,165.7136688232422,399.4681091308594,898.9267578125
Chest press,,,171.41940307617188,415.3251953125,902.5361328125
Chest press,,,166.79432678222656,431.59747314453125,907.8603515625
Chest press,,,152.96868896484375,448.20758056640625,912.3425903320312
Chest press,,,136.0241241455078,465.5021057128906,912.730224609375
Chest press,,,124.9285659790039,483.9088134765625,906.3743896484375
Chest press,,,126.43026733398438,503.49127197265625,891.6734619140625
Chest press,,,141.3235321044922,523.49267578125,868.6162719726562
Chest press,,,165.1285858154297,542.013916015625,839.9735107421875
Chest press,,,190.44239807128906,556.3526611328125,811.87744140625
Chest press,,,207.7174530029297,563.4344482421875,792.3031616210938
Chest press,,,206.64004516601562,560.4599609375,787.719970703125
Chest press,,,180.56219482421875,546.1514892578125,799.8834228515625
Chest press,,,132.02650451660156,522.18505859375,824.385986328125
Chest press,,,74.87370300292969,493.20965576171875,851.9674072265625
Chest press,,,28.92389678955078,465.3650817871094,872.843994140625
Chest press,,,9.976112365722656,444.4754943847656,881.56103515625
Chest press,,,22.459980010986328,434.3197937011719,879.1259155273438
Chest press,,,58.963748931884766,435.275146484375,871.1277465820312
Chest press,,,105.51258850097656,443.7669372558594,864.3096923828125
Chest press,,,147.4552001953125,453.7217102050781,864.0374755859375
Chest press,,,173.7326202392578,459.3655090332031,873.2049560546875
Chest press,,,179.9638671875,457.4585876464844,891.8375244140625
Chest press,,,169.79736328125,448.4845275878906,916.8922119140625
Chest press,,,152.24337768554688,436.029541015625,943.038818359375
Chest press,,,136.6372528076172,424.2840881347656,963.9829711914062
Chest press,,,130.0323944091797,415.79193115234375,974.6345825195312
Chest press,,,135.69552612304688,411.07110595703125,973.3460693359375
Chest press,,,150.41763305664062,409.2876892089844,962.956298828125
Chest press,,,164.50076293945312,408.6669921875,949.43212890625
Chest press,,,167.83323669433594,407.2611083984375,937.9988403320312
Chest press,,,156.68521118164062,404.3181457519531,930.7924194335938
Chest press,,,133.23524475097656,400.16705322265625,928.0314331054688
Chest press,,,101.02149200439453,394.65081787109375,930.203125
Chest press,,,62.41990661621094,385.83526611328125,938.6875
Chest press,,,18.847869873046875,370.38623046875,953.53125
Chest press,,,-26.224159240722656,346.8452453613281,971.2348022460938
Chest press,,,-65.54969787597656,318.46783447265625,986.25732421875
Chest press,,,-91.38568878173828,291.92340087890625,994.7886962890625
Chest press,,,-100.6316909790039,272.3368835449219,997.4841918945312
Chest press,,,-96.90522766113281,259.5963134765625,998.1764526367188
Chest press,,,-87.3913803100586,250.43991088867188,1000.7216186523438
Chest press,,,-78.07865142822266,242.19810485839844,1006.7284545898438
Chest press,,,-70.8896255493164,234.20143127441406,1014.416259765625
Chest press,,,-63.88173294067383,226.5114288330078,1020.2887573242188
Chest press,,,-54.992332458496094,218.05201721191406,1021.8228149414062
Chest press,,,-44.520442962646484,207.3271942138672,1018.5286254882812
Chest press,,,-34.759117126464844,193.696533203125,1010.9466552734375
Chest press,,,-28.389009475708008,177.95663452148438,1000.0657958984375
Chest press,,,-26.905689239501953,161.42225646972656,988.478759765625
Chest press,,,-29.94092559814453,144.80027770996094,979.81591796875
Chest press,,,-35.67193603515625,129.0404510498047,975.819580078125
Chest press,,,-40.83260726928711,115.72937774658203,974.4632568359375
Chest press,,,-40.75104904174805,106.63847351074219,971.775634765625
Chest press,,,-30.526365280151367,102.79248046875,965.7745361328125
Chest press,,,-8.119500160217285,103.91661834716797,957.4761352539062
Chest press,,,22.78061294555664,108.27948760986328,948.7210693359375
Chest press,,,55.01919937133789,112.26459503173828,940.7440185546875
Chest press,,,81.94345092773438,111.652587890625,934.8956298828125
Chest press,,,99.84395599365234,103.90092468261719,933.39599609375
Chest press,,,107.14554595947266,89.63134765625,937.5146484375
Chest press,,,104.57186889648438,72.7055435180664,945.6130981445312
Chest press,,,97.27903747558594,58.32936477661133,954.1640625
Chest press,,,93.67576599121094,50.47549819946289,960.212158203125
Chest press,,,100.56774139404297,50.1190071105957,962.4024658203125
Chest press,,,118.53047943115234,55.38490295410156,960.2247924804688
