label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
LatPulldown,,,-0.487748920917511,18.32257080078125,8.035447120666504
LatPulldown,,,-1.8050169944763184,77.5992431640625,33.87107849121094
LatPulldown,,,-4.971898078918457,230.14785766601562,99.85897827148438
LatPulldown,,,-9.089459419250488,460.3593444824219,197.23646545410156
LatPulldown,,,-12.665963172912598,695.0441284179688,291.11181640625
LatPulldown,,,-15.453885078430176,859.434326171875,346.55029296875
LatPulldown,,,-18.196029663085938,932.7508544921875,357.00762939453125
LatPulldown,,,-22.43444061279297,961.8189086914062,352.0109558105469
LatPulldown,,,-30.416767120361328,966.3873291015625,349.8183288574219
LatPulldown,,,-45.370216369628906,964.93701171875,361.4447937011719
LatPulldown,,,-65.98322296142578,960.1797485351562,381.7376403808594
LatPulldown,,,-85.10103607177734,954.7750244140625,401.6377258300781
LatPulldown,,,-94.63520050048828,950.9262084960938,414.3699951171875
LatPulldown,,,-91.64185333251953,950.075439453125,417.6670227050781
LatPulldown,,,-78.12722778320312,952.556884765625,412.8932189941406
LatPulldown,,,-57.7025032043457,957.9449462890625,402.56268310546875
LatPulldown,,,-34.07088088989258,964.9228515625,388.4659729003906
LatPulldown,,,-9.95971965789795,972.0307006835938,371.7420959472656
LatPulldown,,,12.512298583984375,978.349365234375,354.3276672363281
LatPulldown,,,30.988264083862305,983.7028198242188,339.6865539550781
LatPulldown,,,43.49944305419922,988.27734375,331.3147888183594
LatPulldown,,,48.492977142333984,992.20068359375,329.9721374511719
LatPulldown,,,45.683895111083984,995.4013671875,333.0827331542969
LatPulldown,,,36.590763092041016,997.1006469726562,337.8623962402344
LatPulldown,,,23.81355857849121,996.0616455078125,344.19366455078125
LatPulldown,,,9.911495208740234,991.4950561523438,354.1208801269531
LatPulldown,,,-4.468889236450195,983.557861328125,368.834716796875
LatPulldown,,,-20.698225021362305,972.7449340820312,387.01422119140625
LatPulldown,,,-39.61330032348633,958.9176635742188,405.730224609375
LatPulldown,,,-59.19231033325195,941.3943481445312,421.9117126464844
LatPulldown,,,-75.65132904052734,919.6951293945312,433.4184265136719
LatPulldown,,,-87.39460754394531,893.9135131835938,439.8116455078125
LatPulldown,,,-96.30986785888672,864.951171875,442.69268798828125
LatPulldown,,,-104.3565444946289,834.6922607421875,444.5890808105469
LatPulldown,,,-111.26097106933594,805.033935546875,446.8358459472656
LatPulldown,,,-115.57210540771484,776.0205688476562,449.01397705078125
LatPulldown,,,-116.11082458496094,745.6660766601562,449.80120849609375
LatPulldown,,,-111.94864654541016,712.033935546875,448.24017333984375
LatPulldown,,,-102.08122253417969,675.3309326171875,443.8802795410156
LatPulldown,,,-86.89253997802734,637.5022583007812,436.0180969238281
LatPulldown,,,-69.49795532226562,600.1599731445312,423.6692810058594
LatPulldown,,,-54.57854080200195,565.0317993164062,405.326416015625
LatPulldown,,,-45.440704345703125,535.6206665039062,380.86944580078125
LatPulldown,,,-42.74980163574219,517.1533813476562,354.76873779296875
