label,timestamp1,timestamp2,x_out_fir,y_out_fir,z_out_fir
Stationary,,,0.6453542113304138,-14.676661491394043,12.885894775390625
Stationary,,,2.548354387283325,-61.7460823059082,54.27524948120117
Stationary,,,7.142756462097168,-182.18072509765625,160.1876678466797
Stationary,,,12.913103103637695,-361.2509765625,317.8052673339844
Stationary,,,16.412883758544922,-538.9105224609375,474.15911865234375
Stationary,,,14.581488609313965,-656.3137817382812,577.1220092773438
Stationary,,,6.819008827209473,-701.5574951171875,615.9102783203125
Stationary,,,-4.989611625671387,-717.8150024414062,628.6207275390625
Stationary,,,-19.739004135131836,-722.3892822265625,631.3740844726562
Stationary,,,-35.697269439697266,-727.6436767578125,635.5809936523438
Stationary,,,-51.959346771240234,-731.9979248046875,639.231689453125
Stationary,,,-68.26206970214844,-736.137939453125,640.956787109375
Stationary,,,-84.67776489257812,-741.4156494140625,639.9100952148438
Stationary,,,-100.5220718383789,-747.5490112304688,635.2398681640625
Stationary,,,-114.83214569091797,-752.6821899414062,626.4729614257812
Stationary,,,-126.89675903320312,-755.093017578125,614.5769653320312
Stationary,,,-136.23414611816406,-754.1111450195312,602.1270751953125
Stationary,,,-142.46180725097656,-749.9303588867188,592.4340209960938
Stationary,,,-145.93313598632812,-743.10888671875,588.1182861328125
Stationary,,,-148.3859100341797,-734.3475952148438,590.3038940429688
Stationary,,,-151.74267578125,-724.69775390625,598.781005859375
Stationary,,,-157.04434204101562,-715.8528442382812,612.0215454101562
Stationary,,,-164.08023071289062,-709.7833862304688,628.1483154296875
Stationary,,,-172.21351623535156,-708.3436279296875,644.5862426757812
Stationary,,,-181.04885864257812,-712.08154296875,659.7039794921875
Stationary,,,-190.4916229248047,-719.140869140625,673.0469360351562
Stationary,,,-198.2245330810547,-726.8184814453125,681.8458251953125
Stationary,,,-199.90890502929688,-734.546142578125,682.492431640625
Stationary,,,-193.1838836669922,-744.2890625,673.4598388671875
Stationary,,,-179.79266357421875,-756.1596069335938,658.7354125976562
Stationary,,,-164.20724487304688,-767.8034057617188,644.5103759765625
Stationary,,,-148.94944763183594,-778.1018676757812,633.5481567382812
Stationary,,,-134.44911193847656,-788.2489013671875,625.6202392578125
Stationary,,,-120.55836486816406,-799.0354614257812,618.9207153320312
Stationary,,,-108.5381851196289,-808.8159790039062,613.8147583007812
Stationary,,,-102.10563659667969,-815.6715087890625,613.00390625
Stationary,,,-104.54022979736328,-819.2007446289062,618.60888671875
Stationary,,,-116.18767547607422,-819.940673828125,630.2713012695312
Stationary,,,-132.52127075195312,-818.732421875,642.8720092773438
Stationary,,,-148.33859252929688,-816.521728515625,650.589111328125
Stationary,,,-158.68136596679688,-814.7506103515625,647.0223388671875
Stationary,,,-161.75350952148438,-817.1337890625,630.5478515625
Stationary,,,-163.44972229003906,-821.473388671875,609.7164306640625
Stationary,,,-167.36282348632812,-813.556396484375,594.9302368164062
Stationary,,,-172.6608428955078,-790.2058715820312,590.34716796875
Stationary,,,-177.3608856201172,-770.7816162109375,589.3003540039062
Stationary,,,-182.00791931152344,-772.5786743164062,585.67919921875
Stationary,,,-188.47512817382812,-787.917236328125,579.8945922851562
Stationary,,,-194.04006958007812,-796.3614501953125,574.9176025390625
Stationary,,,-197.30990600585938,-794.6259155273438,572.4225463867188
Stationary,,,-198.7840118408203,-790.350830078125,570.6060791015625
Stationary,,,-197.11923217773438,-784.862548828125,567.0079956054688
Stationary,,,-191.45523071289062,-777.2401733398438,560.3350219726562
Stationary,,,-183.09225463867188,-768.9442749023438,551.4210815429688
